tag,model,mode,freq,size_mb,storage,network,num_iterations,wall_time_cycles,gpu_time_cycles,comm_time_cycles,overlap_cycles,baseline_wall_time_cycles,overhead_pct,astra_returncode,sim_seconds,trace_key,workload
main,gpt_small,sync,100,500,nvme_std,network_8_balanced,200,11697523200,436984800,11260538400,0,11260615200,3.87997,0,5.87,gpt_small_sync_n100_sz500MB_nvme_std_200iter_f696d6ffea,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,checkfreq_like,100,2000,nvme_std,network_8_balanced,200,11610141202,349602802,11260538400,0,11260615200,3.10397,0,6.55,gpt_small_checkfreq_like_n100_sz2000MB_nvme_std_200iter_8cc166bcd2,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,sync,100,2000,nvme_std,network_8_balanced,200,13008243200,1747704800,11260538400,0,11260615200,15.51983,0,6.25,gpt_small_sync_n100_sz2000MB_nvme_std_200iter_ce07745659,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,checkfreq_like,100,5000,nvme_std,network_8_balanced,200,12134429202,873890802,11260538400,0,11260615200,7.75991,0,5.76,gpt_small_checkfreq_like_n100_sz5000MB_nvme_std_200iter_ed8d291c34,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,sync,100,5000,nvme_std,network_8_balanced,200,15629683200,4369144800,11260538400,0,11260615200,38.79955,0,5.46,gpt_small_sync_n100_sz5000MB_nvme_std_200iter_140f1db576,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_medium,baseline,25,2000,nvme_std,network_8_balanced,200,88367729600,153600,88367576000,0,88367729600,0.0,0,12.05,gpt_medium_base_200iter_bee9e0c204,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,checkfreq_like,10,500,nvme_std,network_8_balanced,200,89241549620,873973620,88367576000,0,88367729600,0.98885,0,11.83,gpt_medium_checkfreq_like_n10_sz500MB_nvme_std_200iter_2a1a333f33,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,sync,10,500,nvme_std,network_8_balanced,200,92736809600,4369233600,88367576000,0,88367729600,4.9442,0,12.47,gpt_medium_sync_n10_sz500MB_nvme_std_200iter_03d25395c2,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,checkfreq_like,10,2000,nvme_std,network_8_balanced,200,91862989620,3495413620,88367576000,0,88367729600,3.95536,0,12.47,gpt_medium_checkfreq_like_n10_sz2000MB_nvme_std_200iter_60c9e90a6d,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,sync,10,2000,nvme_std,network_8_balanced,200,105844009600,17476433600,88367576000,0,88367729600,19.77677,0,12.7,gpt_medium_sync_n10_sz2000MB_nvme_std_200iter_1dd00b0568,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,checkfreq_like,10,5000,nvme_std,network_8_balanced,200,97105869620,8738293620,88367576000,0,88367729600,9.88838,0,12.61,gpt_medium_checkfreq_like_n10_sz5000MB_nvme_std_200iter_8dfb6aa851,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,sync,10,5000,nvme_std,network_8_balanced,200,132058409600,43690833600,88367576000,0,88367729600,49.44189,0,13.57,gpt_medium_sync_n10_sz5000MB_nvme_std_200iter_09ae1e1bfb,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,checkfreq_like,25,500,nvme_std,network_8_balanced,200,88717257608,349681608,88367576000,0,88367729600,0.39554,0,11.94,gpt_medium_checkfreq_like_n25_sz500MB_nvme_std_200iter_6c65316def,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,sync,25,500,nvme_std,network_8_balanced,200,90115361600,1747785600,88367576000,0,88367729600,1.97768,0,11.44,gpt_medium_sync_n25_sz500MB_nvme_std_200iter_4693f32ca5,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,checkfreq_like,25,2000,nvme_std,network_8_balanced,200,89765833608,1398257608,88367576000,0,88367729600,1.58214,0,11.95,gpt_medium_checkfreq_like_n25_sz2000MB_nvme_std_200iter_72b5bb2339,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,sync,25,2000,nvme_std,network_8_balanced,200,95358241600,6990665600,88367576000,0,88367729600,7.91071,0,15.08,gpt_medium_sync_n25_sz2000MB_nvme_std_200iter_3a6bd6f20f,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,checkfreq_like,25,5000,nvme_std,network_8_balanced,200,91862985608,3495409608,88367576000,0,88367729600,3.95535,0,13.72,gpt_medium_checkfreq_like_n25_sz5000MB_nvme_std_200iter_089cecf08f,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,sync,25,5000,nvme_std,network_8_balanced,200,105844001600,17476425600,88367576000,0,88367729600,19.77676,0,14.35,gpt_medium_sync_n25_sz5000MB_nvme_std_200iter_a313404b3f,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,checkfreq_like,50,500,nvme_std,network_8_balanced,200,88542493604,174917604,88367576000,0,88367729600,0.19777,0,12.72,gpt_medium_checkfreq_like_n50_sz500MB_nvme_std_200iter_f4f4060ea7,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,sync,50,500,nvme_std,network_8_balanced,200,89241545600,873969600,88367576000,0,88367729600,0.98884,0,11.87,gpt_medium_sync_n50_sz500MB_nvme_std_200iter_1813283380,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,checkfreq_like,50,2000,nvme_std,network_8_balanced,200,89066781604,699205604,88367576000,0,88367729600,0.79107,0,12.29,gpt_medium_checkfreq_like_n50_sz2000MB_nvme_std_200iter_96f6951fba,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,sync,50,2000,nvme_std,network_8_balanced,200,91862985600,3495409600,88367576000,0,88367729600,3.95535,0,13.06,gpt_medium_sync_n50_sz2000MB_nvme_std_200iter_fe6e2f643b,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
